date,E-Today(KWH)
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
25-09-2025,16
26-09-2025,46
27-09-2025,45
28-09-2025,43
29-09-2025,39
30-09-2025,39
01-10-2025,26
02-10-2025,33
03-10-2025,27
03-10-2025,27
03-10-2025,27
03-10-2025,27
03-10-2025,27
03-10-2025,27
03-10-2025,27
03-10-2025,27
03-10-2025,27
03-10-2025,27
03-10-2025,27
03-10-2025,27
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
04-10-2025,36
